month,season,is_highway,roadType,class,lat,lon
-0.018897789261874142,-0.021984903190618073,0.0,0.008370013522659321,-0.06862122944311776,-0.005602396066339853,-0.014522792272083897
-0.07341579294944395,-0.032896710722235344,0.0,-0.012386560408526892,-0.20821805428645557,-0.0964815730174843,0.2531869283138121
-0.015150702142792197,-0.02360101267121902,0.0,-0.016986973182677487,0.06394007782719205,-0.20729614564824084,0.03876439172975977
-0.03212780596654387,-0.021680167654085616,0.0,0.0038530641877247466,-0.08987621946897979,-0.08476408710625508,0.05230992072534673
-0.046323329531165164,-0.032093030154229554,0.0,0.01150693739282978,-0.26468217803627775,-0.05092810164035414,0.2188466863379611
-0.07448577968331888,-0.03208692692424164,0.0,0.011696588923298,-0.26175075762003847,-0.09923114314864706,0.2838638053849286
-0.017221629057259703,-0.01598343589090149,0.0,0.029838775266101222,-0.053620906895688394,-0.03686470451832223,-0.059573640661610576
-0.03451169511652668,-0.021779825174646546,0.0,0.23199899444362723,0.2083019599166557,-1.7370335065668991,2.269749829467802
-0.0173317034684835,-0.019422682962010232,0.0,0.05442851829063868,0.08113505699764145,-0.2029331204199811,-0.013910633763043022
-0.0198122621857047,-0.02211973621355264,0.0,0.0037492638794561577,-0.1005928397384226,0.008404099681164944,-0.02576043886687096
-0.01323192937777999,-0.010353635664819153,0.0,-0.10227684839921636,1.0667117783861637,-0.7145865778718932,-0.4153418429853615
-0.01571352015118431,-0.018248047894946735,0.0,0.009571948315053718,-0.05699872211327377,-0.06157709936685289,-0.016422930318109215
-0.01930105375138229,-0.020685161074182397,0.0,-0.23176951958705866,1.0279082006482714,-0.19716537235742204,-0.37938419459747513
-0.019829756700779428,-0.01871499668319404,0.0,0.05040415527255686,0.06692407390843225,-0.2010886492018629,-0.047772783615505174
-0.01794515989527333,-0.01740152916105365,0.0,0.04826877853572669,-0.20273389628899346,0.049335206363899514,0.003869256975571608
-0.017659216068620514,-0.018891420858617045,0.0,0.008188528920327382,-0.06891415259316537,-0.018995803915877314,-0.037045530949507514
-0.03325219999309041,-0.029266406965536895,0.0,0.011303679471655314,-0.22869598137277075,-0.035095266331151724,0.15258517760408777
-0.019829756700779428,-0.01871499668319404,0.0,0.05040415527255686,0.06692407390843225,-0.2010886492018629,-0.047772783615505174
-0.01062264212238462,-0.018905783296090696,0.0,-1.6324310596777096,4.559568378132989,-2.8808178087046263,2.2238180677567945
-0.017659216068620514,-0.01912596385168385,0.0,0.008188528920327382,-0.06891415259316537,-0.017644248864724096,-0.03706427768930828
